timestamp,zone,CO_ppm,H2S_ppm,CH4_ppm,O2_percent,temperature_C,pressure_bar,vibration_mm_s,noise_dB,incident_flag
2025-01-01 00:00:00,Zone-C (Oxygen Plant),34.44,4.62,61.16,22.3,33.98,1.5,5.28,85.56,0
2025-01-01 00:30:00,Zone-D (Workshop),0.0,0.05,61.66,20.51,59.34,1.2,0.27,69.77,0
2025-01-01 01:00:00,Zone-A (Coke Oven),39.5,0.0,0.0,20.59,62.75,1.91,3.8,74.58,0
2025-01-01 01:30:00,Zone-C (Oxygen Plant),45.26,0.0,10.86,20.1,27.53,3.15,1.64,80.07,0
2025-01-01 02:00:00,Zone-C (Oxygen Plant),43.99,0.54,160.21,21.53,26.94,3.76,2.26,80.45,0
2025-01-01 02:30:00,Zone-D (Workshop),57.02,0.94,37.78,19.87,48.38,3.23,4.89,83.87,0
2025-01-01 03:00:00,Zone-A (Coke Oven),50.85,0.0,79.24,21.96,54.44,3.35,3.4,77.11,0
2025-01-01 03:30:00,Zone-A (Coke Oven),41.48,0.0,23.97,18.8,40.51,2.44,0.0,70.82,0
2025-01-01 04:00:00,Zone-C (Oxygen Plant),28.25,0.63,0.0,18.85,55.19,1.11,1.05,71.5,0
2025-01-01 04:30:00,Zone-B (Blast Furnace),0.0,2.54,43.19,21.53,34.35,2.14,4.95,75.26,0
2025-01-01 05:00:00,Zone-C (Oxygen Plant),40.74,3.79,39.38,20.37,20.0,2.29,3.9,77.5,0
2025-01-01 05:30:00,Zone-C (Oxygen Plant),35.19,0.33,34.0,19.82,38.64,2.1,6.5,73.53,0
2025-01-01 06:00:00,Zone-C (Oxygen Plant),36.79,0.76,45.41,21.84,45.95,2.54,6.37,75.19,0
2025-01-01 06:30:00,Zone-C (Oxygen Plant),0.0,0.0,60.57,19.59,40.86,2.85,2.32,59.83,0
2025-01-01 07:00:00,Zone-D (Workshop),174.15,41.83,44.0,16.47,27.62,6.31,8.01,81.67,1
2025-01-01 07:30:00,Zone-A (Coke Oven),56.33,0.0,0.0,22.6,20.0,2.28,3.05,76.81,0
2025-01-01 08:00:00,Zone-D (Workshop),206.37,41.68,69.45,19.71,37.29,4.09,1.07,85.02,1
2025-01-01 08:30:00,Zone-D (Workshop),47.04,0.0,0.0,22.86,58.46,2.11,1.73,75.0,0
2025-01-01 09:00:00,Zone-D (Workshop),30.71,0.92,0.0,20.08,63.84,2.53,0.0,57.62,0
2025-01-01 09:30:00,Zone-C (Oxygen Plant),30.74,2.9,79.57,22.35,62.82,3.48,6.21,71.42,0
2025-01-01 10:00:00,Zone-B (Blast Furnace),53.46,2.55,70.28,19.08,32.76,2.05,6.19,73.0,0
2025-01-01 10:30:00,Zone-A (Coke Oven),17.1,10.08,47.7,19.14,27.69,2.91,0.97,82.43,0
2025-01-01 11:00:00,Zone-B (Blast Furnace),32.4,3.05,0.0,16.97,52.45,2.73,2.54,54.3,0
2025-01-01 11:30:00,Zone-D (Workshop),18.44,0.0,21.68,23.0,54.53,2.54,3.19,75.41,0
2025-01-01 12:00:00,Zone-D (Workshop),19.14,1.71,39.49,19.2,51.0,3.24,1.08,80.14,0
2025-01-01 12:30:00,Zone-B (Blast Furnace),22.27,0.0,0.0,20.31,20.0,1.97,0.0,68.39,0
2025-01-01 13:00:00,Zone-B (Blast Furnace),35.55,1.76,20.44,19.13,32.0,2.04,2.58,75.75,0
2025-01-01 13:30:00,Zone-B (Blast Furnace),18.03,0.0,76.09,21.54,44.55,2.49,2.36,68.73,0
2025-01-01 14:00:00,Zone-D (Workshop),61.39,4.75,107.09,19.94,52.31,1.99,2.22,67.7,0
2025-01-01 14:30:00,Zone-D (Workshop),7.63,0.35,33.22,18.54,56.51,2.91,3.45,70.92,0
2025-01-01 15:00:00,Zone-A (Coke Oven),25.33,1.65,80.26,21.16,47.16,1.93,5.86,67.89,0
2025-01-01 15:30:00,Zone-A (Coke Oven),19.01,0.09,0.0,18.35,49.96,2.68,2.39,81.84,0
2025-01-01 16:00:00,Zone-D (Workshop),66.17,7.22,76.38,19.24,46.27,2.42,3.34,67.65,0
2025-01-01 16:30:00,Zone-B (Blast Furnace),34.91,1.04,17.84,17.34,55.28,2.67,4.45,65.97,0
2025-01-01 17:00:00,Zone-B (Blast Furnace),55.8,7.5,62.29,18.36,49.69,2.13,4.11,92.68,0
2025-01-01 17:30:00,Zone-A (Coke Oven),0.0,4.44,40.09,20.77,45.99,2.23,1.77,84.61,0
2025-01-01 18:00:00,Zone-D (Workshop),36.68,3.45,102.82,17.55,40.97,2.58,3.19,56.38,0
2025-01-01 18:30:00,Zone-A (Coke Oven),52.24,3.11,15.02,18.28,46.22,2.66,4.1,67.35,0
2025-01-01 19:00:00,Zone-A (Coke Oven),32.06,3.18,75.1,20.5,52.27,2.5,0.74,77.42,0
2025-01-01 19:30:00,Zone-C (Oxygen Plant),56.64,0.0,38.82,19.68,49.01,3.86,5.53,78.24,0
2025-01-01 20:00:00,Zone-C (Oxygen Plant),17.07,1.16,43.67,23.0,50.71,1.71,5.86,60.1,0
2025-01-01 20:30:00,Zone-C (Oxygen Plant),65.23,4.54,42.65,23.0,65.14,2.45,1.55,86.59,0
2025-01-01 21:00:00,Zone-B (Blast Furnace),87.47,1.85,16.17,19.2,48.98,1.24,3.39,83.25,0
2025-01-01 21:30:00,Zone-D (Workshop),20.93,0.0,49.44,21.34,35.27,2.8,4.28,79.82,0
2025-01-01 22:00:00,Zone-D (Workshop),18.86,1.84,47.49,21.62,58.25,1.61,1.91,88.57,0
2025-01-01 22:30:00,Zone-D (Workshop),66.33,7.11,59.65,19.6,24.51,2.28,3.96,79.52,0
2025-01-01 23:00:00,Zone-D (Workshop),69.49,5.74,53.38,18.26,28.78,2.2,3.33,79.49,0
2025-01-01 23:30:00,Zone-C (Oxygen Plant),16.93,1.81,81.92,20.48,50.04,2.72,0.06,90.58,0
2025-01-02 00:00:00,Zone-B (Blast Furnace),19.5,4.85,86.94,20.24,52.75,2.06,3.92,86.01,0
2025-01-02 00:30:00,Zone-B (Blast Furnace),22.96,0.9,7.98,19.85,26.32,2.02,0.8,66.58,0
2025-01-02 01:00:00,Zone-C (Oxygen Plant),0.0,0.0,84.75,21.16,39.26,3.65,4.88,81.33,0
